,date_forecast,depression,downside,lower,mean,rateshock,sdownside,trend,upper,upside,k
9,2021-01-01,0.1341677208956178,0.20979010842678059,0.22375793625746776,0.2713997959595156,0.19500673985161177,0.1345428257725385,0.2561813672304323,0.31395874631805887,0.25879678309745224,Turks (Approx) - Miami S. Beach 5 stars
10,2021-04-01,0.0693149143023104,0.15350644106434053,0.16930622968482467,0.22698406482880484,0.14077443197423967,0.07063949408033077,0.211671510040788,0.2744364359177911,0.21698416518066654,Turks (Approx) - Miami S. Beach 5 stars
11,2021-07-01,0.025365845459323966,0.11338770220479755,0.1339928687005607,0.1938695557351673,0.10493912366173075,0.028459765416264604,0.17857650117222157,0.24671431631860563,0.19209846105118888,Turks (Approx) - Miami S. Beach 5 stars
12,2021-10-01,-0.011452513137603981,0.08078743923456533,0.10333877715019968,0.17153820035526968,0.0757908708862769,-0.006048471057648053,0.15332045783617954,0.22830513554733067,0.1662669459876831,Turks (Approx) - Miami S. Beach 5 stars
13,2022-01-01,-0.09322623210619829,0.015654682867975334,0.04684638346950942,0.12612425277641148,0.013298486938653875,-0.087262141618619,0.10397292782790357,0.19020589486843864,0.11711642712378345,Turks (Approx) - Miami S. Beach 5 stars
14,2022-04-01,-0.20557385436629527,-0.08738089008223926,-0.06163917071286651,0.026405467289395634,-0.08738089008223915,-0.19254706526845278,0.006167416767290712,0.09403295141600743,0.01783310010021255,Turks (Approx) - Miami S. Beach 5 stars
15,2022-07-01,-0.2040334829113083,-0.08556978844919172,-0.062101536647828026,0.030675089327582228,-0.0855697884491915,-0.18923944077549504,0.011943814517903384,0.09814810674818353,0.02191615250184742,Turks (Approx) - Miami S. Beach 5 stars
16,2022-10-01,-0.16297225102489377,-0.059820827003090105,-0.03697277659635745,0.05472426145454734,-0.059820827003089994,-0.14999527794034162,0.032791630860576904,0.11876969228758849,0.04060531905377962,Turks (Approx) - Miami S. Beach 5 stars
17,2023-01-01,-0.13391906602292591,-0.03131176947153569,-0.006651434055825689,0.08356821742232179,-0.03131176947153558,-0.12113035152704177,0.06415916196688443,0.15136233468787053,0.07039745301915845,Turks (Approx) - Miami S. Beach 5 stars
18,2023-04-01,-0.08499980874899238,-0.001182391455716969,0.01582832847184812,0.10159997509842911,-0.001182391455716858,-0.07554905112076438,0.0849800214357832,0.16577364914832704,0.08926908901360364,Turks (Approx) - Miami S. Beach 5 stars
19,2023-07-01,-0.05109456249429556,0.016227584973401266,0.026829413977168093,0.10512963295210365,0.016227584973401488,-0.044134125518786815,0.0916643655156617,0.16376365868912113,0.09400627218445834,Turks (Approx) - Miami S. Beach 5 stars
20,2023-10-01,-0.059149917425288745,0.012254036040897365,0.022969150656403592,0.1086549943926407,0.012254036040897365,-0.052142792795814685,0.09274597749270486,0.16864836795509985,0.0938549693806221,Turks (Approx) - Miami S. Beach 5 stars
0,2018-10-01,,,0.05917542937715159,0.05917542937715159,,,,0.05917542937715159,,el retiro Farm
1,2019-01-01,,,0.029583149714859536,0.054576423994153744,,,,0.07455635033248753,,el retiro Farm
2,2019-04-01,,,0.0403002577681022,0.07684431525810265,,,,0.10713383141667387,,el retiro Farm
3,2019-07-01,,,0.0570163081627959,0.09959825175449089,,,,0.13626500400114971,,el retiro Farm
4,2019-10-01,,,0.051631297621088645,0.10134952455962831,,,,0.142280425481486,,el retiro Farm
5,2020-01-01,,,0.06205200418864121,0.12057376225523098,,,,0.16774183993695568,,el retiro Farm
6,2020-04-01,,,0.09843442375915723,0.16007011903014012,,,,0.2132103279237858,,el retiro Farm
7,2020-07-01,,,0.08147227472545326,0.15090673625624862,,,,0.21089080886120137,,el retiro Farm
8,2020-10-01,,,0.06461187809734881,0.137394186834364,,,,0.19973434413974456,,el retiro Farm
9,2021-01-01,,,0.0403853524267046,0.11759657865658713,,,,0.18617750235738617,,el retiro Farm
10,2021-04-01,,,0.050933156808192104,0.12792311347276386,,,,0.19644528820379414,,el retiro Farm
11,2021-07-01,,,0.0610263212662121,0.14498317021432272,,,,0.21646668658539903,,el retiro Farm
12,2021-10-01,,,0.057333291255055485,0.14082159356820556,,,,0.21461988128166865,,el retiro Farm
13,2022-01-01,,,0.04208800793767464,0.13290530437976988,,,,0.21204635374927916,,el retiro Farm
14,2022-04-01,,,0.022608262424851144,0.1211404661979083,,,,0.20301042931271907,,el retiro Farm
15,2022-07-01,,,0.059001905177874736,0.15733712818818613,,,,0.2442345331302509,,el retiro Farm
16,2022-10-01,,,0.080519063001254,0.1804214697303148,,,,0.2694533332099762,,el retiro Farm
17,2023-01-01,,,0.0600960847599572,0.16808472936334984,,,,0.2610648445019548,,el retiro Farm
18,2023-04-01,,,0.01915660982963674,0.1339170881457683,,,,0.2322263242194449,,el retiro Farm
19,2023-07-01,,,-0.0380918189930356,0.08862909141251163,,,,0.19522855756293733,,el retiro Farm
20,2023-10-01,,,-0.04473562563174416,0.09116603099659892,,,,0.20055334709060846,,el retiro Farm
0,2018-10-01,,,0.10159837581438103,0.10159837581438103,,,,0.10159837581438103,,la moraleja Property
1,2019-01-01,,,0.10302038371110567,0.10438003870597479,,,,0.10573303074333351,,la moraleja Property
2,2019-04-01,,,0.11413001480884932,0.11699025065098212,,,,0.1198336074813322,,la moraleja Property
3,2019-07-01,,,0.11847145912974533,0.12285915156267113,,,,0.12721743116065554,,la moraleja Property
4,2019-10-01,,,0.1166291219044413,0.12257257528576182,,,,0.12847106161419797,,la moraleja Property
5,2020-01-01,,,0.11372976246962674,0.12142668938566437,,,,0.12899075464502197,,la moraleja Property
6,2020-04-01,,,0.11454817225970082,0.12390449914212565,,,,0.13309881299350068,,la moraleja Property
7,2020-07-01,,,0.0928028296993606,0.10392980492256809,,,,0.11485040806794156,,la moraleja Property
8,2020-10-01,,,0.08728620744724536,0.10007035523218,,,,0.11259774088761665,,la moraleja Property
9,2021-01-01,,,0.08032046273799454,0.09497045928464876,,,,0.10922932731858248,,la moraleja Property
10,2021-04-01,,,0.07250100110090085,0.08898436523322317,,,,0.10499492499500196,,la moraleja Property
11,2021-07-01,,,0.0730831615624623,0.09129458518320033,,,,0.10895568336979045,,la moraleja Property
12,2021-10-01,,,0.06479668766771329,0.08483244791849165,,,,0.10425399038280103,,la moraleja Property
13,2022-01-01,,,0.05724685300503474,0.0793244449348307,,,,0.10062687520417746,,la moraleja Property
14,2022-04-01,,,0.04074019892858338,0.06540519733589556,,,,0.08905297349468655,,la moraleja Property
15,2022-07-01,,,0.034583021066109554,0.06186828198297922,,,,0.08792615221354794,,la moraleja Property
16,2022-10-01,,,-0.0033253292573899307,0.028119842928028493,,,,0.057767038658723235,,la moraleja Property
17,2023-01-01,,,-0.0397118910103923,-0.004823600993177024,,,,0.028015898970666475,,la moraleja Property
18,2023-04-01,,,-0.05575555704490853,-0.01813352547713587,,,,0.017050172771222005,,la moraleja Property
